"candidat";"vote";"DimACP1_1";"DimACP1_2";"DimACP2_1";"DimACP2_2";"Médiane";"Écart inter-quartile";"Rapport interdécile";"Écart-type";"Gini";"Rapport interdécile (log)";"inegalitesH"
"LePen";21,242374719003;-0,812319217315446;-2,26556392224695;0,141057038533595;2,07167361310286;21243;13922;4,3;14461,97;0,3081;1,45861502269952;"inférieur"
"LePen";23,6472108671849;1,1857134979782;-0,239481775184545;-1,93418022495831;1,35422296405503;19724;11466;4,9;10883,38;0,2925;1,58923520511658;"inférieur"
"LePen";22,6392798405218;3,21218080069517;0,814961328569869;-5,4607226600971;-1,47309231699363;13846;11628;7,1;9872,4;0,3482;1,96009478404727;"inférieur"
"LePen";21,8526301687947;1,01832835979474;0,410350987595016;-1,41847035643456;-0,436782609225102;23513;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";23,2986039723882;-2,82649266675509;0,857044101591885;0,472302495075717;0,368895643301978;18378;14113;5,5;11648,22;0,3197;1,70474809223843;"inférieur"
"LePen";22,2548958820097;-2,23558989263882;-0,544561381444397;-0,412727101316842;2,89244290014284;17205;15968;9,1;11844,46;0,3664;2,2082744135228;"supérieur"
"LePen";19,8579416216534;-6,02833264856236;-0,14002097628323;3,75888381312854;0,930366896815525;22506;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";22,5941668310976;5,27995754127222;-0,877741753415367;-2,80514691725483;-1,58781185508447;16923;16,2;24261,82;20039,59;0,4407;10,0966592002942;"supérieur"
"LePen";19,1750884046326;-0,2502598453316;-2,18026761940175;0,827718738401574;0,955154178967397;19245;13356;4,6;12964,54;0,3136;1,52605630349505;"inférieur"
"LePen";14,2045453411356;0,0466712195996211;1,18893672625368;-0,671434235691594;0,308387631567892;13794;14025;11,4;11581,97;0,3994;2,43361335540045;"supérieur"
"LePen";20,8905559720435;-0,565072351859606;-1,06488060798522;2,44387206102571;-0,681076574909007;22826;14826;4,5;13882,21;0,2991;1,50407739677627;"inférieur"
"LePen";15,701181476226;-4,28940405916655;1,66086347381237;3,47294420216565;1,60975502174792;22319;12191;3,2;11482,65;0,254;1,16315080980568;"inférieur"
"LePen";20,6277722440343;0,344363650658107;-0,278747706525234;-0,240752734323161;-0,618844149949362;18716;13350;5,3;11099,35;0,3109;1,66770682055808;"inférieur"
"LePen";22,1329455034569;-2,72693630617514;2,22416697391485;-0,822554998152092;2,0646795816815;18937;12534;4,3;10664,19;0,2907;1,45861502269952;"inférieur"
"LePen";21,5769045578411;-0,440882222248064;0,842857235267539;1,59162858028735;-1,17291694874036;19495;15044;6,2;22112,3;0,3619;1,82454929205105;"supérieur"
"LePen";21,1871126583006;-4,40284750622586;-0,767021347989981;3,95485191842826;1,12799931167589;28052;18007;3,9;21975,19;0,3139;1,3609765531356;"inférieur"
